,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 01,34,51,42,68,34,51,17
Week 02,17,34,68,51,34,34,51
Week 03,68,17,51,17,34,17,34
Goal,68,68,68,68,68,68,68
